BOARDID,TRADEDATE,SECID,OPEN,LOW,HIGH,CLOSE,OPENPOSITIONVALUE,VALUE,VOLUME,OPENPOSITION,SETTLEPRICE,SWAPRATE,WAPRICE,CHANGE,QTY,NUMTRADES,SHORTNAME,ASSETCODE,SECID_REQUESTED
RFUD,2025-12-09,MMU6,2996.0,2973.1,3004.55,2986.25,52919894.0,328386.5,11.0,1772,2986.45,0.0,2985.33,-0.19,1.0,11,MXI-9.26,MXI,MMU6
RFUD,2025-12-10,MMU6,2996.95,2996.3,3021.55,3005.55,53558901.0,961896.0,32.0,1782,3005.55,0.0,3005.93,0.65,1.0,32,MXI-9.26,MXI,MMU6
RFUD,2025-12-11,MMU6,3015.0,3013.2,3045.0,3045.0,54403947.0,1211522.5,40.0,1794,3032.55,0.0,3028.81,1.31,1.0,40,MXI-9.26,MXI,MMU6
RFUD,2025-12-12,MMU6,3032.55,3000.0,3056.85,3000.0,53100000.0,3632151.5,120.0,1770,3000.0,0.0,3026.79,-1.48,1.0,110,MXI-9.26,MXI,MMU6
RFUD,2025-12-15,MMU6,2993.1,2980.95,3011.8,2990.0,55590336.0,3047543.0,102.0,1854,2998.4,0.0,2987.79,-0.33,1.0,86,MXI-9.26,MXI,MMU6
RFUD,2025-12-16,MMU6,2997.25,2997.25,3028.0,3028.0,57012666.0,2054553.0,68.0,1884,3026.15,0.0,3021.18,1.27,1.0,53,MXI-9.26,MXI,MMU6
RFUD,2025-12-17,MMU6,3017.3,2975.55,3036.3,2984.65,59076885.0,2617934.5,87.0,1974,2992.75,0.0,3009.12,-1.43,1.0,82,MXI-9.26,MXI,MMU6
RFUD,2025-12-18,MMU6,3004.2,2979.0,3004.2,2979.0,61486560.0,3742854.5,125.0,2064,2979.0,0.0,2994.28,-0.19,1.0,109,MXI-9.26,MXI,MMU6
RFUD,2025-12-19,MMU6,2990.0,2964.5,3018.45,2971.15,64057994.0,7237414.0,242.0,2156,2971.15,0.0,2990.68,-0.26,1.0,186,MXI-9.26,MXI,MMU6
RFUD,2025-12-22,MMU6,2976.95,2950.1,2990.9,2953.75,66459375.0,4959470.0,167.0,2250,2953.75,0.0,2969.74,-0.59,1.0,153,MXI-9.26,MXI,MMU6
RFUD,2025-12-23,MMU6,2958.25,2930.0,2964.6,2943.0,76400280.0,7456601.0,253.0,2596,2943.0,0.0,2947.5,-0.36,1.0,189,MXI-9.26,MXI,MMU6
RFUD,2025-12-24,MMU6,2949.3,2927.0,2953.85,2927.0,77816937.0,2583651.5,88.0,2658,2927.65,0.0,2935.97,-0.54,1.0,72,MXI-9.26,MXI,MMU6
RFUD,2025-12-25,MMU6,2934.25,2919.45,2934.25,2921.35,79168585.0,2133718.0,73.0,2710,2921.35,0.0,2922.9,-0.19,1.0,36,MXI-9.26,MXI,MMU6
RFUD,2025-12-26,MMU6,2934.35,2934.1,2963.25,2961.6,80437056.0,4034879.0,137.0,2716,2961.6,0.0,2945.17,1.38,1.0,37,MXI-9.26,MXI,MMU6
RFUD,2025-12-29,MMU6,2967.3,2943.95,3025.75,2943.95,81506528.0,7101659.5,238.0,2768,2944.6,0.0,2983.89,-0.6,1.0,203,MXI-9.26,MXI,MMU6
RFUD,2025-12-30,MMU6,2953.75,2947.0,2975.0,2975.0,86732265.0,5915113.5,200.0,2922,2968.25,0.0,2957.56,1.05,1.0,174,MXI-9.26,MXI,MMU6
RFUD,2026-01-05,MMU6,2966.8,2921.75,2966.8,2936.0,95243840.0,7247807.0,247.0,3244,2936.0,0.0,2934.41,-1.31,1.0,156,MXI-9.26,MXI,MMU6
