region,year,population_avg,life_expectancy,visits_per_capita,urban_share,grp_total,age_struct_share,emissions_h1,emissions_fuel,industrial_index,grp_pc,emissions_h1_pc,emissions_fuel_pc,ln_grp_pc,ln_emissions_h1_pc,ln_emissions_fuel_pc,ln_population_avg,emp_mining,emp_manufacturing,emp_energy,emp_metallurgy,emp_chemicals,emp_construction,emp_mining_pc,emp_manufacturing_pc,emp_energy_pc,emp_metallurgy_pc,emp_chemicals_pc,emp_construction_pc,ln_emp_mining_pc,ln_emp_manufacturing_pc,ln_emp_energy_pc,ln_emp_construction_pc
Приморский край,2015,1921761.0,69.14,8.6,77.3,717609859.0,59.8,61.64,163.38,87.6,373.4126454850525,3.2074748108635775e-05,8.501577459423935e-05,5.92268409632169,-10.347441500692607,-9.372673735230798,14.468752511144524,10091.0,112159.0,31075.0,502.0,3184.0,57466.0,0.005250913094812518,0.05836261637113044,0.01617006485197691,0.0002612187467640357,0.0016568137244953977,0.029902781875581822,-5.2493532946799935,-2.841079724750373,-4.12459359476561,-3.5098037635962673
Псковская область,2015,641655.0,68.35,7.6,70.3,135239497.6,55.9,13.55,12.47,102.8,210.76668552415236,2.111726706719343e-05,1.9434119581394985e-05,5.350751765867365,-10.76541950772673,-10.848480295360494,13.371806055052438,528.0,45163.0,7955.0,391.0,160.0,21408.0,0.0008228721041681278,0.07038517583436582,0.01239762800882094,0.0006093617286548067,0.00024935518308125083,0.03336372349627136,-7.102709771346177,-2.6537726085258044,-4.390250114280551,-3.400286092124484
Республика Адыгея,2015,462600.0,72.4,9.2,50.5,84306017.5,57.0,5.15,1.5100000000000002,103.1,182.24387699956768,1.11327280587981e-05,3.2641591007349767e-06,5.205345773614194,-11.405621314103833,-12.632508377952645,13.044618028779476,1246.0,23065.0,3287.0,82.0,302.0,14499.0,0.00269347168179853,0.04985948984003459,0.007105490704712495,0.0001772589710332901,0.0006528318201469952,0.031342412451361865,-5.916924329432077,-2.998546432787555,-4.946887455115257,-3.4627830682662823
Республика Алтай,2015,209910.0,68.19,9.1,29.9,42165741.1,55.6,4.13,7.84,125.2,200.87533276165976,1.9675098851888904e-05,3.734934019341623e-05,5.30268448061715,-10.836156739435111,-10.195195312045737,12.254434146408052,590.0,4132.0,1950.0,0.0,25.0,4845.0,0.0028107284074127005,0.01968462674479539,0.009289695583821637,0.0,0.00011909866133104664,0.02308132056595684,-5.874311609508287,-3.927917316168523,-4.67884949485026,-3.7687316220831857
Республика Башкортостан,2015,4109848.0,70.19,8.9,61.4,1316598267.2,58.3,214.06,83.34,101.3,320.35205856761615,5.2084651305839046e-05,2.027812220792594e-05,5.769420574059752,-9.862640253263931,-10.805967976825851,15.22889660282016,35015.0,266157.0,39574.0,7932.0,23893.0,168989.0,0.008519779806941765,0.06476078920680278,0.009629066573751633,0.001929998384368473,0.005813596999207756,0.04111806568028793,-4.7653647827305425,-2.737054963607015,-4.642968986867776,-3.1913076997907117
Республика Бурятия,2015,978553.0,69.1,8.5,59.3,202823397.5,58.0,53.53,97.51,101.6,207.26868907458257,5.4703219958448856e-05,9.964713204088076e-05,5.3340159664254205,-9.81358798448369,-9.213875292041951,13.79383022888898,6466.0,41699.0,13050.0,61.0,188.0,28315.0,0.006607715678149268,0.042612919279793736,0.01333601756879801,6.233694035989875e-05,0.0001921204063550978,0.028935581414598902,-5.019517270603601,-3.155597802204979,-4.31728681613814,-3.5426832503410743
Республика Дагестан,2015,3018701.0,76.34,7.5,45.0,569297278.3,61.4,5.64,2.05,105.2,188.59015129355308,1.8683533082607383e-06,6.791000499883889e-07,5.239576148759241,-13.190453098857256,-14.202497371216907,14.920337164367224,5293.0,70798.0,10488.0,49.0,920.0,136369.0,0.0017534032022383137,0.02345313431174535,0.003474342109404012,1.6232147536307837e-05,0.0003047668517021063,0.045174729130178844,-6.346196692509236,-3.752751133671982,-5.662350138923688,-3.0972174385333573
Республика Ингушетия,2015,463232.0,78.47,8.6,45.9,50090979.1,59.1,0.23,0.01,100.4,108.13367621407848,4.965114672561482e-07,2.1587455098093396e-08,4.683368204475135,-14.515659257542302,-17.65115347347145,13.04598328748336,1459.0,23969.0,1536.0,177.0,15.0,17356.0,0.0031496096988118264,0.05174297112462006,0.0033158331030671458,0.00038209795523625313,3.2381182647140095e-05,0.0374671870682509,-5.760476738960574,-2.961466679740369,-5.709046373775742,-3.2842897405651184
Республика Калмыкия,2015,278766.0,72.02,10.4,45.3,51958480.0,59.1,1.42,1.06,99.7,186.3874360574819,5.093878019557622e-06,3.8024723244585066e-06,5.227827496854701,-12.187471127599167,-12.479859091088365,12.53812799921234,427.0,5089.0,2676.0,0.0,164.0,8025.0,0.0015317506439092286,0.018255454395442773,0.009599449000236758,0.0,0.0005883070388784859,0.028787585286584448,-6.481343985983714,-4.003291372623506,-4.64604957796422,-3.5478110512141225
Республика Карелия,2015,601899.0,68.72,9.4,79.0,212049538.8,57.2,62.7,32.39,99.7,352.30086575987,0.0001041703009973,5.381301514041392e-05,5.8644855427948395,-9.169483488490474,-9.829995202945694,13.307844936128934,7561.0,28733.0,9330.0,1002.0,130.0,17592.0,0.012561908227127808,0.04773724495305691,0.015500939526398947,0.0016647311259862536,0.0002159830802177774,0.029227494978393383,-4.3770862005706626,-3.042043369140624,-4.166854642287544,-3.532645403894336
Республика Коми,2015,831076.0,69.14,10.3,77.4,528403419.7,60.2,311.19,113.35,101.6,635.8063759511765,0.0003744422892731,0.0001363894517468,6.454894076660419,-7.890072867621124,-8.899996148779886,13.63047652573275,26555.0,30669.0,17101.0,791.0,421.0,27889.0,0.03195255307577165,0.03690276220225346,0.02057693881185355,0.000951778176725113,0.0005065722027828983,0.03355770110074169,-3.4435031928762494,-3.299468874307625,-3.8835843054196952,-3.3944889008992387
Республика Крым,2015,1904256.0,70.5,7.1,50.7,265970577.7,56.1,11.35,5.1899999999999995,123.0,139.67165008276197,5.960333064461921e-06,2.7254738858640854e-06,4.939294311400983,-12.030384195149448,-12.812868241899064,14.45960193907686,8061.0,75236.0,15898.0,1613.0,8287.0,78304.0,0.004233149324460577,0.03950939369496538,0.00834866740606305,0.0008470499764737515,0.00435183084627277,0.04112052161053976,-5.46480904179326,-3.2312168202861655,-4.785653344943803,-3.1912479728344625
Республика Марий Эл,2015,688676.0,69.84,9.3,65.4,171689478.4,58.1,16.13,11.16,108.5,249.3037050804733,2.342175420662256e-05,1.6205007870174074e-05,5.5186718523543865,-10.661845300523613,-11.030190235707565,13.442526192660727,801.0,58238.0,7444.0,238.0,763.0,24998.0,0.00116310137132701,0.08456516562215033,0.010809146826664498,0.00034559066963274455,0.0011079230291167399,0.03629863680453508,-6.756665245592369,-2.470232851039155,-4.527362574898587,-3.315975092010561
