region,year,population_avg,life_expectancy,visits_per_capita,urban_share,grp_total,age_struct_share,emissions_h1,emissions_fuel,industrial_index,grp_pc,emissions_h1_pc,emissions_fuel_pc,ln_grp_pc,ln_emissions_h1_pc,ln_emissions_fuel_pc,ln_population_avg
Республика Дагестан,2015,3018701.0,76.34,7.5,45.0,569297278.3,61.4,5.64,2.05,105.2,188.59015129355308,1.8683533082607383e-06,6.791000499883889e-07,5.239576148759241,-13.190453098857256,-14.202497371216907,14.920337164367224
Республика Ингушетия,2015,463232.0,78.47,8.6,45.9,50090979.1,59.1,0.23,0.01,100.4,108.13367621407848,4.965114672561482e-07,2.1587455098093396e-08,4.683368204475135,-14.515659257542302,-17.65115347347145,13.04598328748336
Республика Калмыкия,2015,278766.0,72.02,10.4,45.3,51958480.0,59.1,1.42,1.06,99.7,186.3874360574819,5.093878019557622e-06,3.8024723244585066e-06,5.227827496854701,-12.187471127599169,-12.479859091088363,12.538127999212339
Республика Карелия,2015,601899.0,68.72,9.4,79.0,212049538.8,57.2,62.7,32.39,99.7,352.30086575987,0.0001041703009973,5.381301514041392e-05,5.8644855427948395,-9.169483488490474,-9.829995202945694,13.307844936128934
Республика Коми,2015,831076.0,69.14,10.3,77.4,528403419.7,60.2,311.19,113.35,101.6,635.8063759511765,0.0003744422892731,0.0001363894517468,6.454894076660419,-7.890072867621124,-8.899996148779886,13.63047652573275
Республика Крым,2015,1904256.0,70.5,7.1,50.7,265970577.7,56.1,11.35,5.1899999999999995,123.0,139.67165008276197,5.960333064461921e-06,2.7254738858640854e-06,4.939294311400983,-12.030384195149448,-12.812868241899064,14.45960193907686
Республика Марий Эл,2015,688676.0,69.84,9.3,65.4,171689478.4,58.1,16.13,11.16,108.5,249.3037050804733,2.342175420662256e-05,1.6205007870174074e-05,5.5186718523543865,-10.661845300523611,-11.030190235707563,13.442526192660727
Республика Мордовия,2015,812533.0,72.14,9.8,61.6,180352298.3,59.0,16.54,6.42,98.1,221.96304433173793,2.035609630624233e-05,7.901217550548717e-06,5.402510901040961,-10.802130118150318,-11.748493690043993,13.607911807745863
Республика Саха (Якутия),2015,960741.0,70.23,9.4,65.3,747601714.4,60.5,150.68,104.66,103.8,778.1511504141074,0.000156837274562,0.0001089367477811,6.6569207860462605,-8.76030175787807,-9.124743139758017,13.775460140701714
Республика Северная Осетия - Алания,2015,704115.0,74.03,8.7,63.7,126051166.3,57.5,2.87,0.91,91.7,179.02070869105188,4.076038715266683e-06,1.2924025194748016e-06,5.187501490160529,-12.410384944300848,-13.559007653543619,13.464696974072377
Республика Татарстан (Татарстан),2015,3906797.0,72.92,7.7,76.3,1867258739.6,58.6,141.51,60.48,101.5,477.9513088599178,3.622148783261582e-05,1.5480712204908524e-05,6.16950886299314,-10.225858028699003,-11.075915682792006,15.178228414663284
Республика Тыва,2015,316164.0,63.14,8.3,54.5,47289593.9,55.9,10.45,18.79,105.1,149.57298712060827,3.305246644146708e-05,5.943118128566187e-05,5.007784481860512,-10.317414366872649,-9.730691531858096,12.66401634528347
Республика Хакасия,2015,538067.0,68.72,8.0,68.0,170413137.9,57.3,46.26,34.2,98.0,316.71360239524074,8.597442325955689e-05,6.356085766270744e-05,5.757997903033495,-9.361460709902735,-9.663512722637469,13.195738366706028
Ростовская область,2015,4254694.0,71.9,8.0,67.8,1189144016.3,58.1,79.13,92.95,153.2,279.4899036922514,1.8598282273648825e-05,2.1846459463359765e-05,5.632966169195847,-10.892441332388819,-10.731471687842468,15.263533402009921
Рязанская область,2015,1138164.0,71.48,8.7,71.0,323131804.9,56.2,48.66,32.83,97.2,283.9061900569689,4.2753065463325145e-05,2.8844700763686076e-05,5.648643866893814,-10.060069658407862,-10.453584264249738,13.94492699576324
