open,close,high,low,value,volume,begin,end
3111.7,3147.8,3150.28,3094.27,90891719857.2,0,2023-08-03 00:00:00,2023-08-03 23:59:59
3158.53,3092.44,3194.83,3073.69,150969000582.9,0,2023-08-04 00:00:00,2023-08-04 23:59:59
3120.54,3084.08,3153.6,3084.08,72453714916.85,0,2023-08-07 00:00:00,2023-08-07 23:59:59
3077.63,3085.31,3092.54,3026.72,76068844687.75,0,2023-08-08 00:00:00,2023-08-08 23:59:59
3106.03,3099.52,3120.25,3083.77,52718489763.7,0,2023-08-09 00:00:00,2023-08-09 23:59:59
3122.06,3148.86,3148.86,3115.85,76284260011.95,0,2023-08-10 00:00:00,2023-08-10 23:59:59
3158.59,3155.51,3163.47,3138.04,58933369741.8,0,2023-08-11 00:00:00,2023-08-11 23:59:59
3186.47,3131.0,3225.78,3117.31,145236568216.0,0,2023-08-14 00:00:00,2023-08-14 23:59:59
3083.32,3115.25,3163.74,3068.66,101365702525.95,0,2023-08-15 00:00:00,2023-08-15 23:59:59
3109.46,3049.46,3122.34,3015.57,102092119719.0,0,2023-08-16 00:00:00,2023-08-16 23:59:59
3069.81,3059.02,3076.31,3031.73,58197839880.9,0,2023-08-17 00:00:00,2023-08-17 23:59:59
3077.78,3111.22,3111.22,3058.01,52548201795.55,0,2023-08-18 00:00:00,2023-08-18 23:59:59
3139.29,3139.93,3150.61,3122.37,67735783243.5,0,2023-08-21 00:00:00,2023-08-21 23:59:59
3146.42,3164.25,3172.3,3124.19,83064853846.2,0,2023-08-22 00:00:00,2023-08-22 23:59:59
3180.39,3146.2,3184.17,3113.24,77548993173.5,0,2023-08-23 00:00:00,2023-08-23 23:59:59
3117.02,3137.37,3137.37,3108.17,40282143311.7,0,2023-08-24 00:00:00,2023-08-24 23:59:59
3150.03,3157.33,3158.61,3132.07,39505389067.35,0,2023-08-25 00:00:00,2023-08-25 23:59:59
3161.36,3198.72,3202.24,3161.36,63409284339.85,0,2023-08-28 00:00:00,2023-08-28 23:59:59
3205.06,3211.36,3218.4,3191.31,83871175803.25,0,2023-08-29 00:00:00,2023-08-29 23:59:59
3214.11,3212.68,3220.85,3193.18,71358246002.45,0,2023-08-30 00:00:00,2023-08-30 23:59:59
3218.48,3227.99,3234.68,3211.94,69633845179.8,0,2023-08-31 00:00:00,2023-08-31 23:59:59
3230.53,3231.35,3232.92,3214.95,54848329183.4,0,2023-09-01 00:00:00,2023-09-01 23:59:59
3242.49,3268.97,3268.97,3242.4,79115006708.75,0,2023-09-04 00:00:00,2023-09-04 23:59:59
3273.39,3264.43,3287.34,3246.46,69983337336.7,0,2023-09-05 00:00:00,2023-09-05 23:59:59
3270.84,3245.47,3270.84,3236.79,61766334286.2,0,2023-09-06 00:00:00,2023-09-06 23:59:59
3247.9,3169.07,3262.73,3145.25,110748686130.0,0,2023-09-07 00:00:00,2023-09-07 23:59:59
3178.44,3142.88,3188.77,3114.39,73021984581.6,0,2023-09-08 00:00:00,2023-09-08 23:59:59
3145.26,3122.37,3153.61,3106.92,69351105559.2,0,2023-09-11 00:00:00,2023-09-11 23:59:59
3118.14,3165.92,3165.92,3117.7,63830695936.8,0,2023-09-12 00:00:00,2023-09-12 23:59:59
3189.08,3148.32,3191.57,3148.32,49516509449.0,0,2023-09-13 00:00:00,2023-09-13 23:59:59
3144.29,3139.49,3148.5,3072.82,76786367100.8,0,2023-09-14 00:00:00,2023-09-14 23:59:59
3126.57,3152.53,3155.45,3116.72,54277283310.25,0,2023-09-15 00:00:00,2023-09-15 23:59:59
3165.06,3135.18,3177.23,3127.37,56641551167.95,0,2023-09-18 00:00:00,2023-09-18 23:59:59
3134.37,3083.85,3141.38,3054.25,91514235959.0,0,2023-09-19 00:00:00,2023-09-19 23:59:59
3061.18,3068.15,3091.05,3013.75,90455495666.3,0,2023-09-20 00:00:00,2023-09-20 23:59:59
3058.2,3019.22,3062.68,3009.89,75859453170.35,0,2023-09-21 00:00:00,2023-09-21 23:59:59
3009.87,3049.07,3051.69,2988.04,70583117751.2,0,2023-09-22 00:00:00,2023-09-22 23:59:59
