SECID,TRADEDATE,OPEN,HIGH,LOW,CLOSE,SETTLEPRICE,VALUE,VOLUME,OPENPOSITION,NUMTRADES,option_type,strike,expiry_date
MM2550BR6,2025-07-08,,,,,66.35,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-07-09,,,,,48.4,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-07-10,,,,,103.75,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-07-11,,,,,47.35,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-07-14,,,,,90.45,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-07-15,,,,,92.2,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-07-16,,,,,105.05,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-07-17,,,,,104.7,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-07-18,,,,,80.85,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-07-21,,,,,80.15,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-07-22,,,,,77.3,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-07-23,,,,,26.8,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-07-24,,,,,102.4,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-07-25,,,,,98.2,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-07-28,,,,,82.05,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-07-29,,,,,77.45,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-07-30,,,,,88.85,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-07-31,,,,,95.35,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-08-01,,,,,91.0,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-08-04,,,,,84.65,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-08-05,,,,,72.5,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-08-06,,,,,96.4,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-08-07,,,,,82.9,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-08-08,,,,,86.7,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-08-11,,,,,55.25,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-08-12,,,,,73.35,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-08-13,,,,,79.35,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-08-14,,,,,71.8,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-08-15,,,,,106.0,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-08-18,,,,,83.3,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-08-19,,,,,71.7,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-08-20,,,,,60.75,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-08-21,,,,,61.55,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-08-22,,,,,59.95,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-08-25,,,,,65.7,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-08-26,,,,,67.35,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-08-27,,,,,71.45,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-08-28,,,,,83.3,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-08-29,,,,,57.3,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-09-01,,,,,61.9,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-09-02,,,,,61.7,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-09-03,,,,,63.9,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-09-04,,,,,48.55,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-09-05,,,,,58.65,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-09-08,,,,,51.5,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-09-09,,,,,54.0,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-09-10,,,,,48.8,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-09-11,,,,,75.9,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-09-12,,,,,65.1,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-09-15,,,,,121.5,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-09-16,,,,,117.5,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-09-17,,,,,63.05,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-09-18,,,,,65.75,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-09-19,,,,,95.05,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-09-22,,,,,36.75,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-09-23,,,,,31.6,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-09-24,,,,,74.4,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-09-25,,,,,45.85,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-09-26,,,,,70.1,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-09-29,,,,,110.8,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-09-30,,,,,115.45,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-10-01,,,,,129.25,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-10-02,,,,,143.35,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-10-03,,,,,62.45,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-10-06,,,,,61.35,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-10-07,,,,,105.95,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-10-08,,,,,139.05,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-10-09,,,,,66.95,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-10-10,,,,,148.5,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-10-13,,,,,178.5,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-10-14,,,,,177.05,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-10-15,,,,,98.45,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-10-16,,,,,179.3,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-10-17,,,,,134.65,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-10-20,,,,,100.45,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-10-21,,,,,124.75,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-10-22,,,,,127.05,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-10-23,,,,,131.15,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-10-24,,,,,133.0,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-10-27,,,,,217.75,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-10-28,,,,,188.15,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-10-29,,,,,162.55,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-10-30,,,,,137.75,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-10-31,,,,,177.1,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-11-01,,,,,161.7,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-11-03,,,,,143.95,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-11-05,,,,,183.65,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-11-06,,,,,130.5,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-11-07,,,,,140.95,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-11-10,,,,,135.9,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-11-11,,,,,144.1,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-11-12,,,,,133.85,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-11-13,,,,,155.45,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-11-14,,,,,118.6,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-11-17,,,,,122.3,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-11-18,,,,,145.05,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-11-19,,,,,94.6,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-11-20,,,,,108.2,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-11-21,,,,,122.75,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-11-24,,,,,130.9,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-11-25,,,,,112.65,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-11-26,,,,,99.2,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-11-27,,,,,164.9,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-11-28,,,,,147.0,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-12-01,,,,,139.9,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-12-02,,,,,147.95,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-12-03,,,,,136.75,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-12-04,,,,,115.25,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-12-05,,,,,106.35,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-12-08,,,,,93.2,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-12-09,,,,,116.85,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-12-10,,,,,92.1,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-12-11,,,,,89.05,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-12-12,,,,,77.4,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-12-15,,,,,132.05,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-12-16,,,,,82.45,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-12-17,,,,,120.25,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-12-18,,,,,0.05,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-12-19,,,,,81.4,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-12-22,,,,,91.9,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-12-23,,,,,103.4,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-12-24,,,,,89.4,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-12-25,,,,,91.35,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-12-26,,,,,62.35,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-12-29,,,,,76.55,,,,0,P,2550.0,2026-06-18
MM2550BR6,2025-12-30,,,,,62.45,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-01-05,,,,,156.2,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-01-06,,,,,122.0,,,,0,P,2550.0,2026-06-18
MM2550BR6,2026-01-08,,,,,168.85,,,,0,P,2550.0,2026-06-18
