secid,shortname,regnumber,name,isin,is_traded,emitent_id,emitent_title,emitent_inn,emitent_okpo,type,group,primary_boardid,marketprice_boardid,_query,_strategy,option_type,strike,expiry_date
IM2750CD6B,IMOEXP080426CE2750,,Нед. прем. европ. Call 2750 с исп. 8 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2750.0,2026-04-08
IM2750CE6A,IMOEXP060526CE2750,,Нед. прем. европ. Call 2750 с исп. 6 мая на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2750.0,2026-05-06
IM2750CL7,IMOEXP151227CE2750,,Прем. европ. Call 2750 с исп. 15 дек. на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2750.0,2027-12-15
IM2750CP6D,IMOEXP220426PE2750,,Нед. прем. европ. Put 2750 с исп. 22 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2750.0,2026-04-22
IM2750CQ6B,IMOEXP130526PE2750,,Нед. прем. европ. Put 2750 с исп. 13 мая на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2750.0,2026-05-13
IM2850CD6D,IMOEXP220426CE2850,,Нед. прем. европ. Call 2850 с исп. 22 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2850.0,2026-04-22
IM2850CE6A,IMOEXP060526CE2850,,Нед. прем. европ. Call 2850 с исп. 6 мая на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2850.0,2026-05-06
IM2900CP6B,IMOEXP080426PE2900,,Нед. прем. европ. Put 2900 с исп. 8 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2900.0,2026-04-08
IM2950CP6B,IMOEXP080426PE2950,,Нед. прем. европ. Put 2950 с исп. 8 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2950.0,2026-04-08
IM2950CQ6A,IMOEXP060526PE2950,,Нед. прем. европ. Put 2950 с исп. 6 мая на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2950.0,2026-05-06
IM3200CC8,IMOEXP150328CE3200,,Прем. европ. Call 3200 с исп. 15 марта на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,3200.0,2028-03-15
IM2500CE6B,IMOEXP130526CE2500,,Нед. прем. европ. Call 2500 с исп. 13 мая на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2500.0,2026-05-13
IM2550CF6A,IMOEXP030626CE2550,,Нед. прем. европ. Call 2550 с исп. 3 июня на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2550.0,2026-06-03
IM2600CD6B,IMOEXP080426CE2600,,Нед. прем. европ. Call 2600 с исп. 8 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2600.0,2026-04-08
IM2600CQ6A,IMOEXP060526PE2600,,Нед. прем. европ. Put 2600 с исп. 6 мая на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2600.0,2026-05-06
IM2600CQ6D,IMOEXP270526PE2600,,Нед. прем. европ. Put 2600 с исп. 27 мая на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2600.0,2026-05-27
IM2650CD6B,IMOEXP080426CE2650,,Нед. прем. европ. Call 2650 с исп. 8 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2650.0,2026-04-08
IM2650CE6B,IMOEXP130526CE2650,,Нед. прем. европ. Call 2650 с исп. 13 мая на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2650.0,2026-05-13
IM2650CI7,IMOEXP150927CE2650,,Прем. европ. Call 2650 с исп. 15 сент. на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2650.0,2027-09-15
IM2650CL7,IMOEXP151227CE2650,,Прем. европ. Call 2650 с исп. 15 дек. на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2650.0,2027-12-15
IM2700CD6B,IMOEXP080426CE2700,,Нед. прем. европ. Call 2700 с исп. 8 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2700.0,2026-04-08
IM2700CE6B,IMOEXP130526CE2700,,Нед. прем. европ. Call 2700 с исп. 13 мая на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2700.0,2026-05-13
IM2700CF6A,IMOEXP030626CE2700,,Нед. прем. европ. Call 2700 с исп. 3 июня на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2700.0,2026-06-03
IM2700CP6D,IMOEXP220426PE2700,,Нед. прем. европ. Put 2700 с исп. 22 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2700.0,2026-04-22
IM2700CR6A,IMOEXP030626PE2700,,Нед. прем. европ. Put 2700 с исп. 3 июня на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2700.0,2026-06-03
IM2750CC8,IMOEXP150328CE2750,,Прем. европ. Call 2750 с исп. 15 марта на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2750.0,2028-03-15
IM2750CE6D,IMOEXP270526CE2750,,Нед. прем. европ. Call 2750 с исп. 27 мая на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2750.0,2026-05-27
IM2750CQ6D,IMOEXP270526PE2750,,Нед. прем. европ. Put 2750 с исп. 27 мая на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2750.0,2026-05-27
IM2750CR6A,IMOEXP030626PE2750,,Нед. прем. европ. Put 2750 с исп. 3 июня на IMOEX,,1,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2750.0,2026-06-03
IM2800CD6E,IMOEXP290426CE2800,,Нед. прем. европ. Call 2800 с исп. 29 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,C,2800.0,2026-04-29
IM2800CP6,IMOEXP150426PE2800,,Прем. европ. Put 2800 с исп. 15 апр. на IMOEX,,0,,,,,option_on_indices,futures_options,ROPD,,IMOEXP,base_query,P,2800.0,2026-04-15
IMOEXF,IMOEXF,,IMOEXF,,1,,,,,futures,futures_forts,RFUD,,IMOEX option,base_query,,,
IMOEX_CLT,IMOEX_CLT,,IMOEX_CLT,,0,,,,,futures_collateral,futures_forts,RFUD,,IMOEX option,base_query,,,
MX285000BP6,MIX-6.26M160426PA285000,,Марж. амер. Put 285000 с исп. 16 апр. на фьюч. контр. MIX-6.26,,0,,,,,option,futures_options,ROPD,,MIX,base_query,P,285000.0,2026-04-16
MX280000BE6,MIX-6.26M210526CA280000,,Марж. амер. Call 280000 с исп. 21 мая на фьюч. контр. MIX-6.26,,1,,,,,option,futures_options,ROPD,,MIX,base_query,C,280000.0,2026-05-21
MX270000BF6,MIX-6.26M180626CA270000,,Марж. амер. Call 270000 с исп. 18 июня на фьюч. контр. MIX-6.26,,1,,,,,option,futures_options,ROPD,,MIX,base_query,C,270000.0,2026-06-18
MX260000BR6,MIX-6.26M180626PA260000,,Марж. амер. Put 260000 с исп. 18 июня на фьюч. контр. MIX-6.26,,1,,,,,option,futures_options,ROPD,,MIX,base_query,P,260000.0,2026-06-18
MX260000BQ6,MIX-6.26M210526PA260000,,Марж. амер. Put 260000 с исп. 21 мая на фьюч. контр. MIX-6.26,,1,,,,,option,futures_options,ROPD,,MIX,base_query,P,260000.0,2026-05-21
MX280000BF6,MIX-6.26M180626CA280000,,Марж. амер. Call 280000 с исп. 18 июня на фьюч. контр. MIX-6.26,,1,,,,,option,futures_options,ROPD,,MIX,base_query,C,280000.0,2026-06-18
MX275000BF6,MIX-6.26M180626CA275000,,Марж. амер. Call 275000 с исп. 18 июня на фьюч. контр. MIX-6.26,,1,,,,,option,futures_options,ROPD,,MIX,base_query,C,275000.0,2026-06-18
MX270000BR6,MIX-6.26M180626PA270000,,Марж. амер. Put 270000 с исп. 18 июня на фьюч. контр. MIX-6.26,,1,,,,,option,futures_options,ROPD,,MIX,base_query,P,270000.0,2026-06-18
MX265000BF6,MIX-6.26M180626CA265000,,Марж. амер. Call 265000 с исп. 18 июня на фьюч. контр. MIX-6.26,,1,,,,,option,futures_options,ROPD,,MIX,base_query,C,265000.0,2026-06-18
MX265000BR6,MIX-6.26M180626PA265000,,Марж. амер. Put 265000 с исп. 18 июня на фьюч. контр. MIX-6.26,,1,,,,,option,futures_options,ROPD,,MIX,base_query,P,265000.0,2026-06-18
MX275000BE6,MIX-6.26M210526CA275000,,Марж. амер. Call 275000 с исп. 21 мая на фьюч. контр. MIX-6.26,,1,,,,,option,futures_options,ROPD,,MIX,base_query,C,275000.0,2026-05-21
MX270000BQ6,MIX-6.26M210526PA270000,,Марж. амер. Put 270000 с исп. 21 мая на фьюч. контр. MIX-6.26,,1,,,,,option,futures_options,ROPD,,MIX,base_query,P,270000.0,2026-05-21
MX275000BR6,MIX-6.26M180626PA275000,,Марж. амер. Put 275000 с исп. 18 июня на фьюч. контр. MIX-6.26,,1,,,,,option,futures_options,ROPD,,MIX,base_query,P,275000.0,2026-06-18
MX285000BD6,MIX-6.26M160426CA285000,,Марж. амер. Call 285000 с исп. 16 апр. на фьюч. контр. MIX-6.26,,0,,,,,option,futures_options,ROPD,,MIX,base_query,C,285000.0,2026-04-16
MX280000BR6,MIX-6.26M180626PA280000,,Марж. амер. Put 280000 с исп. 18 июня на фьюч. контр. MIX-6.26,,1,,,,,option,futures_options,ROPD,,MIX,base_query,P,280000.0,2026-06-18
MX290000BE6,MIX-6.26M210526CA290000,,Марж. амер. Call 290000 с исп. 21 мая на фьюч. контр. MIX-6.26,,1,,,,,option,futures_options,ROPD,,MIX,base_query,C,290000.0,2026-05-21
MX265000BQ6,MIX-6.26M210526PA265000,,Марж. амер. Put 265000 с исп. 21 мая на фьюч. контр. MIX-6.26,,1,,,,,option,futures_options,ROPD,,MIX,base_query,P,265000.0,2026-05-21
MX260000BF6,MIX-6.26M180626CA260000,,Марж. амер. Call 260000 с исп. 18 июня на фьюч. контр. MIX-6.26,,1,,,,,option,futures_options,ROPD,,MIX,base_query,C,260000.0,2026-06-18
MX270000BE6,MIX-6.26M210526CA270000,,Марж. амер. Call 270000 с исп. 21 мая на фьюч. контр. MIX-6.26,,1,,,,,option,futures_options,ROPD,,MIX,base_query,C,270000.0,2026-05-21
MX275000BQ6,MIX-6.26M210526PA275000,,Марж. амер. Put 275000 с исп. 21 мая на фьюч. контр. MIX-6.26,,1,,,,,option,futures_options,ROPD,,MIX,base_query,P,275000.0,2026-05-21
MX280000BD6,MIX-6.26M160426CA280000,,Марж. амер. Call 280000 с исп. 16 апр. на фьюч. контр. MIX-6.26,,0,,,,,option,futures_options,ROPD,,MIX,base_query,C,280000.0,2026-04-16
MX250000BR6,MIX-6.26M180626PA250000,,Марж. амер. Put 250000 с исп. 18 июня на фьюч. контр. MIX-6.26,,1,,,,,option,futures_options,ROPD,,MIX,base_query,P,250000.0,2026-06-18
MX285000BE6,MIX-6.26M210526CA285000,,Марж. амер. Call 285000 с исп. 21 мая на фьюч. контр. MIX-6.26,,1,,,,,option,futures_options,ROPD,,MIX,base_query,C,285000.0,2026-05-21
MX285000BF6,MIX-6.26M180626CA285000,,Марж. амер. Call 285000 с исп. 18 июня на фьюч. контр. MIX-6.26,,1,,,,,option,futures_options,ROPD,,MIX,base_query,C,285000.0,2026-06-18
